Token,Position in ST
PROGRAM,"(-1,-1)"
MAIN,"(-1,-1)"
->,"(-1,-1)"
{,"(-1,-1)"
DECLARATIONS,"(-1,-1)"
INTEGER,"(-1,-1)"
:,"(-1,-1)"
identifier,"(20,0)"
",","(-1,-1)"
identifier,"(15,0)"
",","(-1,-1)"
identifier,"(14,0)"
",","(-1,-1)"
identifier,"(11,0)"
<-,"(-1,-1)"
constant,"(18,0)"
",","(-1,-1)"
identifier,"(13,0)"
<-,"(-1,-1)"
constant,"(18,0)"
;,"(-1,-1)"
INTEGER,"(-1,-1)"
CONST,"(-1,-1)"
:,"(-1,-1)"
identifier,"(8,0)"
<-,"(-1,-1)"
constant,"(25,0)"
;,"(-1,-1)"
ARRAY,"(-1,-1)"
[,"(-1,-1)"
INTEGER,"(-1,-1)"
],"(-1,-1)"
:,"(-1,-1)"
identifier,"(7,0)"
[,"(-1,-1)"
identifier,"(8,0)"
],"(-1,-1)"
;,"(-1,-1)"
STATEMENTS,"(-1,-1)"
{,"(-1,-1)"
in,"(-1,-1)"
(,"(-1,-1)"
constant,"(2,0)"
),"(-1,-1)"
>>,"(-1,-1)"
identifier,"(20,0)"
;,"(-1,-1)"
for,"(-1,-1)"
(,"(-1,-1)"
identifier,"(15,0)"
<-,"(-1,-1)"
constant,"(18,0)"
;,"(-1,-1)"
identifier,"(15,0)"
<,"(-1,-1)"
identifier,"(20,0)"
;,"(-1,-1)"
identifier,"(15,0)"
<-,"(-1,-1)"
identifier,"(15,0)"
+,"(-1,-1)"
constant,"(19,0)"
),"(-1,-1)"
{,"(-1,-1)"
in,"(-1,-1)"
>>,"(-1,-1)"
identifier,"(14,0)"
;,"(-1,-1)"
identifier,"(7,0)"
[,"(-1,-1)"
identifier,"(15,0)"
],"(-1,-1)"
<-,"(-1,-1)"
identifier,"(14,0)"
;,"(-1,-1)"
},"(-1,-1)"
for,"(-1,-1)"
(,"(-1,-1)"
identifier,"(15,0)"
<-,"(-1,-1)"
constant,"(18,0)"
;,"(-1,-1)"
identifier,"(15,0)"
<,"(-1,-1)"
identifier,"(20,0)"
;,"(-1,-1)"
identifier,"(15,0)"
<-,"(-1,-1)"
identifier,"(15,0)"
+,"(-1,-1)"
constant,"(19,0)"
),"(-1,-1)"
{,"(-1,-1)"
if,"(-1,-1)"
(,"(-1,-1)"
identifier,"(7,0)"
[,"(-1,-1)"
identifier,"(15,0)"
],"(-1,-1)"
>,"(-1,-1)"
constant,"(18,0)"
),"(-1,-1)"
{,"(-1,-1)"
identifier,"(11,0)"
<-,"(-1,-1)"
identifier,"(11,0)"
+,"(-1,-1)"
identifier,"(7,0)"
[,"(-1,-1)"
identifier,"(15,0)"
],"(-1,-1)"
;,"(-1,-1)"
identifier,"(13,0)"
<-,"(-1,-1)"
identifier,"(13,0)"
+,"(-1,-1)"
constant,"(19,0)"
;,"(-1,-1)"
},"(-1,-1)"
},"(-1,-1)"
if,"(-1,-1)"
(,"(-1,-1)"
identifier,"(13,0)"
==,"(-1,-1)"
constant,"(18,0)"
),"(-1,-1)"
out,"(-1,-1)"
<<,"(-1,-1)"
constant,"(19,1)"
;,"(-1,-1)"
else,"(-1,-1)"
out,"(-1,-1)"
<<,"(-1,-1)"
constant,"(2,1)"
",","(-1,-1)"
identifier,"(11,0)"
/,"(-1,-1)"
identifier,"(13,0)"
;,"(-1,-1)"
},"(-1,-1)"
},"(-1,-1)"
